feature,train_mean,holdout_mean,train_std,holdout_std,ks_stat,corr_train,corr_holdout,corr_diff,concept_drift
volatility_50,0.0040242281632629625,0.003456926833002866,0.0015184810622892485,0.0019027817423485718,0.33290624530098745,-0.03224016336930576,0.05342817311758728,0.08566833648689304,True
rsi_slope_3,-0.006964140334584782,0.018739432670002214,7.7523559758980465,8.076112522123944,0.021941256077389615,-0.03169583379676928,0.05366728211353534,0.08536311591030463,True
sma_cross_5_20,-0.000217281018839812,0.0020924048321056383,0.007532189185855372,0.0085173889349648,0.10643367918065927,0.12037903504020933,0.038200216926080215,-0.08217881811412911,False
sma_ratio_50,-0.0006497564635093847,0.0068552830817157455,0.01586243154275861,0.020593497180645504,0.1641166691728067,0.079620967757492,-0.0024849226539838463,-0.08210589041147584,True
log_return_50,-0.0013806322504634034,0.01355038689165413,0.028198494334218147,0.03739617625730848,0.15201410121464254,0.043663348402114735,-0.03566036353089367,-0.07932371193300841,True
ema_ratio_50,-0.000717441335328348,0.006550853247355976,0.01371053072696898,0.017876729475737454,0.1574534693331997,0.07590642612789827,0.0021980106626495813,-0.0737084154652487,False
log_return_2,-6.289279635873156e-05,0.0005546151531656119,0.0059843832842786495,0.005733436153545527,0.08321951280637563,-0.02260235952962012,0.04492320195359765,0.06752556148321777,True
log_return_20,-0.0006262045638039011,0.005554516404827997,0.01747815350287251,0.02032356724165271,0.1322291697993417,0.10675484065977804,0.04915691227182384,-0.0575979283879542,False
log_return_10,-0.0002940943665288168,0.002768110915482884,0.01237749658473806,0.013565726383049929,0.09371293001186237,0.08387150419203965,0.027529485804632613,-0.05634201838740703,False
hl_ratio,1.0059787780625078,1.0050429635727358,0.004282865291702108,0.004505036429405274,0.16515671729069556,-0.03780224694148092,0.014475216748602925,0.05227746369008385,True
hl_spread,0.005951832740138981,0.005017276983736645,0.004234906334319522,0.004422930989243338,0.16453227072995508,-0.03785628259803263,0.013946295209891603,0.05180257780792423,True
ema_ratio_20,-0.0002889026218928317,0.0026154257941004657,0.008397566245336791,0.009706821145905271,0.13238998045210765,0.07839783861673608,0.027244211269735617,-0.05115362734700046,False
log_returns,-3.2392327367248426e-05,0.0002765566600315438,0.004282415406954209,0.004008083012109623,0.0755653434247239,-0.014801923369347571,0.034799164692573395,0.04960108806192097,False
log_return_1,-3.2392327367248426e-05,0.0002765566600315438,0.004282415406954209,0.004008083012109623,0.0755653434247239,-0.014801905725226178,0.03479910216545465,0.04960100789068082,False
returns,-2.32260414775038e-05,0.00028465454846948735,0.004279992094119419,0.004028184073979028,0.0755653434247239,-0.014795730660494156,0.03479520081525011,0.04959093147574427,False
sma_ratio_20,-0.0002674591369588793,0.002663599460028425,0.009730068566392885,0.010943538434746904,0.11006653801814445,0.08862803920429571,0.0434948378835586,-0.04513320132073711,False
volatility_ratio,0.9663949470179869,0.9690438292485253,0.2730087854381352,0.2810209553793125,0.058401416804504336,-0.03768898654726187,0.007325501791051461,0.04501448833831333,False
lower_shadow,0.283855571391807,0.27904665326875905,0.2053452116508954,0.21945247800380616,0.05943102267221359,-0.020941566548632787,0.02204227288703256,0.04298383943566535,False
sma_ratio_5,-5.894985102822322e-05,0.0005571206594392594,0.0045314053609181604,0.0045170973094055865,0.07763708586035784,-0.00985454858117938,0.0328708678392743,0.04272541642045368,False
price_close,69710.66942488262,70629.54958481612,6490.783353250239,7139.155403663656,0.21419874525921845,-0.007008740587412713,0.035193184128403984,0.0422019247158167,False
